description,category,temperature,target_gender,boldness,timer_seconds
"Тебе нравится, когда партнёр делает первый шаг?",flirt,warm,both,25,0
"Тебе нравится, когда женщина делает первый шаг?",flirt,warm,m,25,0
"Тебе нравится, когда мужчина делает первый шаг?",flirt,warm,f,25,0
"Какой поцелуй был лучшим в твоей жизни?",flirt,warm,both,25,0
"Как ты проявляешь нежность?",flirt,warm,both,25,0
"Что заставляет тебя чувствовать себя желанным(ой)?",flirt,warm,both,25,0
"Как тебе нравится, когда тебя целуют?",flirt,warm,both,25,0
"Какая часть моего тела тебе нравится больше всего?",flirt,warm,both,25,0
"Можешь угадать мою любимую часть твоего тела?",flirt,warm,both,25,0
"Что было самым сексуальным, что я когда-либо делал(а) для тебя?",flirt,warm,both,25,0
"Какой твой любимый способ создать интимную атмосферу до или во время секса?",flirt,warm,both,25,0
"Ты считаешь нижнее бельё сексуальным или оно мешает?",flirt,warm,both,25,0
"Кто любит делать первый шаг во время секса: ты или я?",flirt,warm,both,25,0
"Тебе хотелось бы чаще инициировать секс?",flirt,warm,both,25,0
"Как тебе нравится, чтобы я инициировал(а) секс?",flirt,warm,both,25,0
"Что тебе хотелось бы, чтобы мы делали после секса, чтобы опыт был приятнее?",flirt,warm,both,25,0
"Как во время секса мы можем дать друг другу понять, что что-то не так и нужно остановиться?",flirt,warm,both,25,0
"Что ты считаешь очень сексуальным, но не обязательно сексуальным по своей сути?",flirt,warm,both,25,0
"Какие совершенно несексуальные вещи тебя возбуждают?",flirt,warm,both,25,0
"Ты чувствуешь себя сексуальным? Что я могу сделать, чтобы ты чувствовал уверенность в своём теле?",flirt,warm,m,25,0
"Ты чувствуешь себя сексуальной? Что я могу сделать, чтобы ты чувствовала уверенность в своём теле?",flirt,warm,f,25,0
"Что тебя беспокоит в нашей сексуальной жизни?",flirt,warm,both,25,0
"Какое твоё самое любимое сексуальное воспоминание о нас?",flirt,warm,both,25,0
"Есть ли что-то, что тебе не нравится делать во время секса?",flirt,warm,both,25,0
"Что помогает тебе чувствовать себя комфортно в интимной обстановке?",flirt,warm,both,25,0
"Какой секс ты считаешь потрясающим?",flirt,hot,both,50,0
"Какая твоя самая главная сексуальная фантазия?",flirt,hot,both,50,0
"Есть ли у тебя сексуальный фетиш? Если да, то какой?",flirt,hot,both,50,0
"Какая твоя любимая поза?",flirt,hot,both,50,0
"Твой выбор: одна поза для секса навсегда. Какая это будет поза?",flirt,hot,both,50,0
"Какая твоя самая нелюбимая сексуальная поза?",flirt,hot,both,50,0
"Какая сексуальная поза для тебя самая комфортная?",flirt,hot,both,50,0
"Какую сексуальную позу тебе хотелось бы попробовать, хотя ты её ещё не пробовал(а)?",flirt,hot,both,50,0
"Где и как я могу к тебе прикоснуться, чтобы это тебя возбудило?",flirt,hot,both,50,0
"Какая часть твоего тела самая чувствительная?",flirt,hot,both,50,0
"Какая у тебя самая эрогенная зона?",flirt,hot,both,50,0
"Какая часть моего тела возбуждает тебя больше всего?",flirt,hot,both,50,0
"Тебя возбуждает зрительный контакт во время секса?",flirt,hot,both,50,0
"Если я захочу сделать тебе эротический массаж, с какой части тела лучше начать?",flirt,hot,both,50,0
"Насколько для тебя важна прелюдия? Что тебе обычно нравится делать во время прелюдии?",flirt,hot,both,50,0
"Насколько для тебя важен оргазм?",flirt,hot,both,50,0
"Какие мои действия помогают тебе достичь оргазма?",flirt,hot,both,50,0
"Что помогает тебе дольше продержаться?",flirt,hot,both,50,0
"Что у тебя лучше всего получается в постели?",flirt,hot,both,50,0
"Что мне стоит делать иначе в постели?",flirt,hot,both,50,0
"Чего ты хочешь больше в сексуальном плане?",flirt,hot,both,50,0
"Твоё описание хорошего секса?",flirt,hot,both,50,0
"Что тебе больше всего нравится в быстром сексе?",flirt,hot,both,50,0
"Что, по твоему мнению, значит быть хорошим в постели?",flirt,hot,both,50,0
"Тебе ближе быстрый секс или долгие сессии?",flirt,hot,both,50,0
"Тебе ближе быть тихо или громко во время секса?",flirt,hot,both,50,0
"Тебе ближе пробовать новое каждый раз или повторять любимое?",flirt,hot,both,50,0
"Тебе нравится, когда я беру контроль во время секса?",flirt,hot,both,50,0
"Как ты относишься к доминированию: тебе ближе доминировать или подчиняться?",flirt,hot,both,50,0
"Тебе ближе романтический или жёсткий секс?",flirt,hot,both,50,0
"Как ты относишься к откровенным разговорам во время секса?",flirt,hot,both,50,0
"Какие у тебя возбуждающие факторы?",flirt,hot,both,50,0
"Что самое сексуальное я могу надеть, чтобы тебя возбудить?",flirt,hot,both,50,0
"Какой из моих нарядов тебя возбуждает больше всего?",flirt,hot,both,50,0
"Какое откровенное бельё тебе хотелось бы видеть на мне?",flirt,hot,both,50,0
"Тебе интересно попробовать другие секс-игрушки, кроме вибраторов?",flirt,hot,both,50,0
"Хочешь сходить со мной в секс-шоп и выбрать какую-нибудь игрушку?",flirt,hot,both,50,0
"Если бы мы сейчас были в секс-шопе, какие три вещи ты бы выбрал(а) для меня?",flirt,hot,both,50,0
"Какую игрушку тебе хотелось бы попробовать со мной?",flirt,hot,both,50,0
"Какую ролевую игру ты считаешь самой возбуждающей?",flirt,hot,both,50,0
"Какую ролевую игру тебе хотелось бы попробовать?",flirt,hot,both,50,0
"Как ты относишься к ролевым играм? Какие роли вам было бы интересно сыграть?",flirt,hot,both,50,0
"Ты предпочитаешь давать или получать оральный секс?",flirt,hot,both,50,0
"Что тебе больше всего нравится в оральных ласках, когда я доставляю их тебе?",flirt,hot,both,50,0
"Какая техника оральных ласк тебе нравится больше всего?",flirt,hot,both,50,0
"Ты смотришь видео для взрослых? Какого рода?",flirt,hot,both,50,0
"Какую эротичную сцену из фильма ты считаешь самой возбуждающей?",flirt,hot,both,50,0
"Какой свой эротический сон ты считаешь самым странным?",flirt,hot,both,50,0
"Тебе когда-нибудь снились эротические сны с моим участием? Что в них происходило?",flirt,hot,both,50,0
"У тебя есть фантазии, связанные с мастурбацией?",flirt,hot,both,50,0
"В каком самом необычном месте тебе хотелось бы заняться со мной сексом?",flirt,hot,both,50,0
"Бывало ли, что ты возбуждался(ась) в общественном месте?",flirt,hot,both,50,0
"Какой вопрос, касающийся секса, ты давно хочешь мне задать, но боишься?",flirt,hot,both,50,0
"Что тебе давно хочется предложить мне попробовать, но ты опасаешься, что я разозлюсь?",flirt,hot,both,50,0
"Есть ли что-то новое, что тебе хотелось бы попробовать вместе в постели?",flirt,hot,both,50,0
"Какой твой секс оказался самым неловким?",flirt,hot,both,50,0
"Какая самая смешная вещь случалась с тобой во время секса?",flirt,hot,both,50,0
"Когда у тебя случился самый лучший оргазм в жизни?",flirt,hot,both,50,0
"Был ли у тебя секс по телефону или онлайн?",flirt,hot,both,50,0
"Какие эпизоды из твоего сексуального прошлого тебе хотелось бы повторить?",flirt,hot,both,50,0
"Что бы ты выбрал(а): никогда больше не есть вкусную еду или никогда больше не заниматься хорошим сексом?",flirt,hot,both,50,0
"Что лучше: великолепный секс раз в месяц или посредственный всякий раз, когда ты его захочешь?",flirt,hot,both,50,0
"Что тебе ближе: шуметь как можно больше или вести себя тихо, словно в соседней комнате кто-то есть?",flirt,hot,both,50,0
"Если я предложу всю ночь исполнять твои желания, о чём ты попросишь?",flirt,hot,both,50,0
"Твой ответ, если я предложу тебе близость прямо сейчас?",flirt,hot,both,50,0
"Какой наряд ты бы выбрал(а) для меня прямо сейчас?",flirt,hot,both,50,0
"С каким вымышленным персонажем тебе хотелось бы заняться сексом?",flirt,hot,both,50,0
"С какой знаменитостью тебе хотелось бы переспать?",flirt,hot,both,50,0
"Когда тебе приятнее получать интимные фото: утром или вечером?",flirt,hot,both,50,0
"Как ты представляешь себе оргию?",flirt,fire,both,75,0
"Тебе хотелось бы поучаствовать в оргии?",flirt,fire,both,75,0
"Что тебе ближе: секс втроём или секс на глазах у других людей?",flirt,fire,both,75,0
"Ты согласился(ась) бы снять приватное интимное видео?",flirt,fire,both,75,0
"Какую сцену из видео для взрослых тебе хотелось бы повторить?",flirt,fire,both,75,0
"Какое видео для взрослых ты смотрел(а) последним?",flirt,fire,both,75,0
"Какая самая откровенная мысль приходила тебе в голову о незнакомом человеке?",flirt,fire,both,75,0
